,polyline_point_index,latitude,longitude,trip(m),dist_to_next_coordinate(m),true_bearing_to_next,bearing_to_next_360,true_bearing_to_prev,bearing_to_prev_360,general_travel_direction,turn_bearing,turn_type,relative_turn_angle,elevation(m),elevation_gains_to_next(m),landmarks_notes,speed_limit(m/s),shoulder,step,routebook_trip(m),MajorTurns/Instructions,lanes,services
0,0.0,40.8829378816515,-98.37406855532743,0.0,11.228728725435653,20.448429881184015,20.448429881184015,,,N20°E,,,,542,0.0,,6.7056,paved ,BL 1 ,0.0,TURN RIGHT to follow roundabout to exit ,1,
1,1.0,40.88303262290332,-98.37402201117517,11.228728725435653,23.747482753569546,105.04004234121136,105.04004234121136,-159.55153965490854,200.44846034509146,S15°E,84.59161246002735,Standard Right,84.59161246002735,542,0.0,,,,,,,,
2,,40.882977131913115,-98.37374990667321,34.9762114790052,23.74748275419665,105.04022044220575,105.04022044220575,-74.95977956187978,285.04022043812023,S15°E,0.00017810099438975158,,,542,0.0,,,,,,,,
3,2.0,40.882921640280436,-98.37347780262579,58.723694233201854,22.079928051582247,86.09657000309028,86.09657000309028,-74.95960146138214,285.04039853861786,N86°E,-18.943650439115473,Slight Left,18.943650439115473,542,0.0,,,,,,,,
4,,40.882935175051365,-98.37321643936254,80.8036222847841,22.07992805097609,86.09674106672841,86.09674106672841,-93.90325893058346,266.09674106941657,N86°E,0.00017106363813468306,,,542,0.0,,,,,,,,
5,3.0,40.88294870923001,-98.3729550759928,102.88355033576019,18.220923347158895,70.73378144794621,70.73378144794621,-93.90308786682897,266.09691213317103,N71°E,-15.362959618782199,Slight Left,15.362959618782199,542,0.0,,,,,,,,
6,,40.88300284725715,-98.3727509979152,121.10447368291909,18.220923348168476,70.73391502163082,70.73391502163082,-109.26608497964614,250.73391502035386,N71°E,0.00013357368460731323,,,542,0.0,,,,,,,,
7,4.0,40.883056984922696,-98.37254691950501,139.32539703108756,16.905830630792554,53.43972079601202,53.43972079601202,-109.26595140559806,250.73404859440194,N53°E,-17.294194225618803,Slight Left,17.294194225618803,542,0.0,,,,,,,,
8,,40.883147665725865,-98.37238580535175,156.23122766188013,16.905830632398253,53.43982625487403,53.43982625487403,-126.56017375189575,233.43982624810425,N53°E,0.00010545886200929999,,,542,0.0,,,,,,,,
9,5.0,40.88323834630254,-98.37222469075867,173.13705829427838,21.46547527904806,37.69952479277447,37.69952479277447,-126.56006829255307,233.43993170744693,N38°E,-15.74030146209956,Slight Left,15.74030146209956,542,0.0,,,,,,,,
10,,40.88339128492079,-98.37206894722311,194.60253357332644,21.465475277164316,37.6996267274286,37.6996267274286,-142.30037326986186,217.69962673013814,N38°E,0.00010193465413266267,,,542,0.0,,,,,,,,
11,6.0,40.88354422332468,-98.37191320297053,216.06800885049074,23.89858521142458,24.227799537372228,24.227799537372228,-142.3002713344241,217.6997286655759,N24°E,-13.471827190056374,Slight Left,13.471827190056374,542,0.0,,,,,,,,
12,,40.88374047089189,-98.37179684292711,239.96659406191532,23.89858521162346,24.22787569996765,24.22787569996765,-155.77212430207098,204.22787569792902,N24°E,7.61625954233125e-05,,,542,0.0,,,,,,,,
13,7.0,40.88393671833501,-98.37168048219625,263.8651792735388,23.31405912849316,2.2253182750731426,2.2253182750731426,-155.77204813872427,204.22795186127573,N2°E,-22.00255742489451,Slight Left,22.00255742489451,542,0.0,,,,,,,,
14,,40.88414649885887,-98.37166974127196,287.17923840203196,23.31405913044129,2.2253253073844816,2.2253253073844816,-177.77467469466686,182.22532530533314,N2°E,7.032311339028041e-06,,,542,0.0,,,,,,,,
15,8.0,40.884356279374096,-98.37165900027982,310.49329753247326,17.6265169208469,-19.327921049012637,340.6720789509874,-177.7746676622814,182.2253323377186,N71°W,-21.553246356397118,Slight Left,21.553246356397118,542,0.0,,,,,,,,
16,,40.884506057215866,-98.3717282194762,328.11981445332015,17.626516920208104,-19.32796635695153,340.67203364304845,160.67203364457274,160.67203364457274,N71°W,-4.530793889401252e-05,,,542,0.0,,,,,,,,
17,,40.8846558350122,-98.37179743898469,345.7463313735283,17.62651692345832,-19.32801165808092,340.6719883419191,160.67198833629274,160.67198833629274,N71°W,-4.53011293899408e-05,,,542,0.0,,,,,,,,
18,9.0,40.88480561276309,-98.37186665880527,363.3728482969866,18.779368124615853,-41.20851467311644,318.79148532688356,160.67194303482228,160.67194303482228,N49°W,-21.88050301503552,Slight Left,21.88050301503552,542,0.0,,,,,,,,
19,,40.884932833057,-98.37201345134861,382.1522164216025,18.779368127803092,-41.20861075554081,318.7913892444592,138.7913892451185,138.7913892451185,N49°W,-9.608242437053605e-05,,,542,0.0,,,,,,,,
20,,40.88506005316128,-98.37216024445416,400.93158454940556,18.779368128164823,-41.20870683748981,318.7912931625102,138.79129316207968,138.79129316207968,N49°W,-9.608194899612954e-05,,,542,0.0,,,,,,,,
21,10.0,40.885187273075935,-98.37230703812195,419.7109526775704,13.419812291745597,-57.48060351263775,302.51939648736226,138.79119707951628,138.79119707951628,N33°W,-16.271896675147943,Slight Left,16.271896675147943,542,0.0,,,,,,,,
22,,40.88525223635895,-98.3724412999683,433.130764969316,13.41981229070153,-57.48069139951729,302.5193086004827,122.5193086068334,122.5193086068334,N33°W,-8.788687954108809e-05,,,542,0.0,,,,,,,,
23,11.0,40.88531719948494,-98.37257556207723,446.5505772600175,21.652583087101533,-71.37932528379162,288.6206747162084,122.5192207196669,122.5192207196669,N19°W,-13.898633884274325,Slight Left,13.898633884274325,542,1.0,,,,,,,,
24,12.0,40.885379455798876,-98.37281902379671,468.203160347119,15.187158687723896,-74.50212809967478,285.4978719003252,108.6205153589472,108.6205153589472,N15°W,-3.122802815883162,Slight Left,3.122802815883162,543,0.0,,,,,,,,
25,,40.885415997641815,-98.37299266919229,483.39031903484295,15.187158686332168,-74.50224176026661,285.4977582397334,105.49775824105151,105.49775824105151,N15°W,-0.00011366059183615107,,,543,0.0,,,,BL 2 ,482.8032,TURN RIGHT towards exit ,,
26,13.0,40.88545253922308,-98.37316631477889,498.5774777211751,22.546386790670187,0.7668336775243152,0.7668336775243152,105.49764458025092,105.49764458025092,N1°E,75.26907543779093,Standard Right,75.26907543779093,543,0.0,,,,,,,,
27,,40.88565554708551,-98.3731627345083,521.1238645118453,22.546386787502083,0.7668360247437077,0.7668360247437077,-179.2331639790088,180.7668360209912,N1°E,2.3472193925178075e-06,,,543,0.0,,,,,,,,
28,,40.88585855494066,-98.37315915421581,543.6702512993475,22.546386789636017,0.7668383657179672,0.7668383657179672,-179.23316163176546,180.76683836823454,N1°E,2.3409742594404648e-06,,,543,0.0,,,,,,,,
29,,40.88606156278854,-98.37315557390146,566.2166380889835,22.546386788588762,0.7668407067741905,0.7668407067741905,-179.2331592907673,180.7668407092327,N1°E,2.3410562233205923e-06,,,543,0.0,,,,,,,,
30,,40.88626457062913,-98.37315199356523,588.7630248775722,22.546386788603915,0.7668430538427861,0.7668430538427861,-179.23315694968719,180.76684305031281,N1°E,2.3470685955873094e-06,,,543,0.0,,,,,,,,
31,14.0,40.88646757846244,-98.3731484132071,611.3094116661762,21.61400327494253,9.10360396713583,9.10360396713583,-179.23315460259465,180.76684539740535,N9°E,8.336760913293045,Slight Right,8.336760913293045,543,0.0,,,,,,,,
32,,40.88665975693738,-98.37310783648508,632.9234149411187,21.614003275144004,9.103630528171461,9.103630528171461,-170.89636947282128,189.10363052717872,N9°E,2.656103563047907e-05,,,543,0.0,,,,,,,,
33,,40.88685193539162,-98.37306725952827,654.5374182162627,21.614003274287573,9.103657085970521,9.103657085970521,-170.89634291152908,189.10365708847092,N9°E,2.6557799060356047e-05,,,543,0.0,,,,,,,,
34,15.0,40.887044113825155,-98.3730266823367,676.1514214905503,24.7992692014616,0.5228589888100497,0.5228589888100497,-170.89631635347345,189.10368364652655,N1°E,-8.580798097160471,Slight Left,8.580798097160471,543,0.0,,,,,,,,
35,,40.88726741730009,-98.37302399712422,700.9506906920119,24.799269202761554,0.5228607454499241,0.5228607454499241,-179.4771392535268,180.5228607464732,N1°E,1.7566398744506273e-06,,,543,0.0,,,,,,,,
36,,40.88749072076628,-98.3730213118937,725.7499598947735,24.799269202999042,0.5228625020433543,0.5228625020433543,-179.4771374968672,180.5228625031328,N1°E,1.7565934301577713e-06,,,543,0.0,,,,,,,,
37,,40.88771402422374,-98.37301862664512,750.5492290977726,24.79926920111849,0.5228642614168705,0.5228642614168705,-179.47713574025403,180.52286425974597,N1°E,1.7593735162080293e-06,,,543,0.0,,,,,,,,
38,16.0,40.88793732767246,-98.37301594137848,775.3484982988911,23.65133490729904,90.81774650722556,90.81774650722556,-179.47713398086077,180.52286601913923,S1°E,90.2948822458087,Standard Right,90.2948822458087,543,0.0,,,,,,,,
