Unnamed: 0,coordinates,latitude,longitude,elevation
0,"(43.467879339595996, -80.56616840836313)",43.467879339596,-80.56616840836313,347.0
1,"(43.46797804546268, -80.5658911293861)",43.46797804546268,-80.5658911293861,347.0
2,"(43.46807675065529, -80.56561384950668)",43.46807675065529,-80.56561384950668,347.0
3,"(43.46817545517384, -80.56533656872487)",43.46817545517384,-80.56533656872487,347.0
4,"(43.46827415901829, -80.5650592870407)",43.46827415901829,-80.5650592870407,347.0
5,"(43.46837286218867, -80.56478200445413)",43.46837286218867,-80.56478200445413,346.0
6,"(43.468471564684975, -80.56450472096518)",43.468471564684975,-80.56450472096518,344.0
7,"(43.46857026650717, -80.56422743657384)",43.46857026650717,-80.56422743657384,344.0
8,"(43.46866896765528, -80.56395015128014)",43.46866896765528,-80.56395015128014,344.0
9,"(43.46876766812929, -80.56367286508403)",43.46876766812929,-80.56367286508403,344.0
10,"(43.4688663679292, -80.56339557798556)",43.4688663679292,-80.56339557798556,344.0
11,"(43.46896506705499, -80.56311828998469)",43.46896506705499,-80.56311828998469,345.0
12,"(43.469063765506675, -80.56284100108142)",43.46906376550668,-80.56284100108142,346.0
13,"(43.46916246328424, -80.5625637112758)",43.46916246328424,-80.5625637112758,346.0
14,"(43.46926116038769, -80.56228642056779)",43.46926116038769,-80.56228642056779,345.0
15,"(43.46935985681701, -80.56200912895738)",43.46935985681701,-80.56200912895738,343.0
16,"(43.4694585525722, -80.56173183644461)",43.4694585525722,-80.56173183644461,343.0
17,"(43.46955724765325, -80.56145454302944)",43.46955724765325,-80.56145454302944,343.0
18,"(43.469655942060164, -80.5611772487119)",43.46965594206016,-80.5611772487119,343.0
19,"(43.46975463579293, -80.56089995349197)",43.46975463579293,-80.56089995349197,341.0
20,"(43.469853328851556, -80.56062265736965)",43.46985332885156,-80.56062265736965,339.0
21,"(43.46995202123602, -80.56034536034497)",43.46995202123602,-80.56034536034497,338.0
22,"(43.47005071294634, -80.56006806241788)",43.47005071294634,-80.56006806241788,338.0
23,"(43.47014940398248, -80.55979076358844)",43.47014940398248,-80.55979076358844,339.0
24,"(43.47024809434446, -80.55951346385659)",43.47024809434446,-80.55951346385659,339.0
25,"(43.47034678403228, -80.55923616322237)",43.47034678403228,-80.55923616322237,338.0
26,"(43.470445473045906, -80.55895886168578)",43.47044547304591,-80.55895886168578,337.0
27,"(43.47054416138536, -80.55868155924679)",43.47054416138536,-80.55868155924679,337.0
28,"(43.470642849050634, -80.55840425590543)",43.47064284905064,-80.55840425590543,336.0
29,"(43.47074153604173, -80.55812695166168)",43.47074153604173,-80.55812695166168,335.0
30,"(43.47084022235862, -80.55784964651555)",43.47084022235862,-80.55784964651555,333.0
31,"(43.47093890800131, -80.55757234046705)",43.47093890800131,-80.55757234046705,333.0
32,"(43.47103759296979, -80.55729503351616)",43.47103759296979,-80.55729503351616,333.0
33,"(43.47113627726409, -80.55701772566289)",43.47113627726409,-80.55701772566289,333.0
34,"(43.471234960884146, -80.55674041690725)",43.47123496088415,-80.55674041690725,333.0
35,"(43.47133364383001, -80.55646310724921)",43.47133364383001,-80.55646310724921,333.0
36,"(43.47143232610165, -80.5561857966888)",43.47143232610165,-80.5561857966888,333.0
37,"(43.471531007699056, -80.555908485226)",43.471531007699056,-80.555908485226,333.0
38,"(43.47162968862224, -80.55563117286084)",43.47162968862224,-80.55563117286084,334.0
39,"(43.47172836887118, -80.55535385959328)",43.47172836887118,-80.55535385959328,335.0
40,"(43.4718270484459, -80.55507654542335)",43.4718270484459,-80.55507654542335,334.0
41,"(43.471925727346374, -80.55479923035104)",43.47192572734637,-80.55479923035104,335.0
42,"(43.4720244055726, -80.55452191437635)",43.4720244055726,-80.55452191437635,336.0
43,"(43.47212308312456, -80.55424459749928)",43.47212308312456,-80.55424459749928,338.0
44,"(43.47222176000228, -80.55396727971983)",43.47222176000228,-80.55396727971983,339.0
45,"(43.47232043620573, -80.55368996103799)",43.47232043620573,-80.55368996103799,339.0
46,"(43.472419111734915, -80.55341264145379)",43.47241911173492,-80.55341264145379,339.0
47,"(43.47251778658985, -80.55313532096719)",43.47251778658985,-80.55313532096719,339.0
48,"(43.47261646077049, -80.55285799957822)",43.47261646077049,-80.55285799957822,341.0
49,"(43.47271513427686, -80.55258067728687)",43.47271513427686,-80.55258067728687,340.0
50,"(43.47281380710894, -80.55230335409314)",43.47281380710894,-80.55230335409314,341.0
51,"(43.47291247926674, -80.55202602999704)",43.47291247926674,-80.55202602999704,342.0
52,"(43.47301115075025, -80.55174870499854)",43.47301115075025,-80.55174870499854,341.0
53,"(43.47310982155946, -80.55147137909769)",43.47310982155946,-80.55147137909769,342.0
54,"(43.47320849169437, -80.55119405229445)",43.47320849169437,-80.55119405229445,342.0
55,"(43.473307161154985, -80.55091672458883)",43.473307161154985,-80.55091672458883,343.0
56,"(43.47340582994128, -80.55063939598082)",43.47340582994128,-80.55063939598082,344.0
57,"(43.473504498053266, -80.55036206647046)",43.47350449805327,-80.55036206647046,345.0
58,"(43.47360316549092, -80.5500847360577)",43.47360316549092,-80.5500847360577,346.0
59,"(43.47370183225427, -80.54980740474257)",43.47370183225427,-80.54980740474257,348.0
60,"(43.47380049834328, -80.54953007252504)",43.47380049834328,-80.54953007252504,349.0
61,"(43.47389916375796, -80.54925273940516)",43.47389916375796,-80.54925273940516,348.0
62,"(43.473997828498305, -80.54897540538289)",43.47399782849831,-80.54897540538289,346.0
63,"(43.474096492564314, -80.54869807045824)",43.47409649256432,-80.54869807045824,346.0
64,"(43.474195155955975, -80.54842073463122)",43.474195155955975,-80.54842073463122,345.0
65,"(43.47429381867329, -80.54814339790182)",43.47429381867329,-80.54814339790182,344.0
66,"(43.47439248071624, -80.54786606027004)",43.47439248071624,-80.54786606027004,342.0
67,"(43.47449114208484, -80.54758872173589)",43.47449114208484,-80.54758872173589,341.0
68,"(43.47458980277908, -80.54731138229936)",43.47458980277908,-80.54731138229936,340.0
69,"(43.474688462798944, -80.54703404196044)",43.474688462798944,-80.54703404196044,340.0
70,"(43.474787122144434, -80.54675670071917)",43.474787122144434,-80.54675670071917,341.0
71,"(43.474885780815555, -80.54647935857551)",43.47488578081556,-80.54647935857551,340.0
72,"(43.47498443881229, -80.54620201552946)",43.47498443881229,-80.54620201552946,339.0
73,"(43.47508309613465, -80.54592467158105)",43.47508309613465,-80.54592467158105,340.0
74,"(43.47518175278261, -80.54564732673026)",43.47518175278261,-80.54564732673026,342.0
75,"(43.47528040875618, -80.54536998097709)",43.47528040875618,-80.54536998097709,344.0
76,"(43.475379064055346, -80.54509263432155)",43.47537906405535,-80.54509263432155,344.0
77,"(43.47547771868012, -80.54481528676362)",43.47547771868012,-80.54481528676362,344.0
78,"(43.47557637263047, -80.54453793830332)",43.47557637263047,-80.54453793830332,344.0
79,"(43.47567502590641, -80.54426058894066)",43.47567502590641,-80.54426058894066,342.0
80,"(43.47577367850795, -80.54398323867561)",43.47577367850795,-80.54398323867561,341.0
81,"(43.47587233043505, -80.54370588750818)",43.47587233043505,-80.54370588750818,340.0
82,"(43.47597098168773, -80.54342853543838)",43.47597098168773,-80.54342853543838,340.0
83,"(43.47606963226598, -80.5431511824662)",43.47606963226598,-80.5431511824662,341.0
84,"(43.4761682821698, -80.54287382859165)",43.4761682821698,-80.54287382859165,342.0
85,"(43.47626693139918, -80.54259647381473)",43.47626693139918,-80.54259647381473,342.0
86,"(43.47636557995411, -80.54231911813544)",43.47636557995411,-80.54231911813544,342.0
87,"(43.476464227834605, -80.54204176155376)",43.476464227834605,-80.54204176155376,341.0
88,"(43.47656287504064, -80.54176440406971)",43.47656287504064,-80.54176440406971,341.0
89,"(43.47666152157222, -80.54148704568328)",43.47666152157222,-80.54148704568328,340.0
90,"(43.476760167429326, -80.54120968639448)",43.476760167429326,-80.54120968639448,340.0
91,"(43.47685881261198, -80.5409323262033)",43.47685881261198,-80.5409323262033,340.0
92,"(43.47695745712016, -80.54065496510977)",43.47695745712016,-80.54065496510977,340.0
93,"(43.47705610095387, -80.54037760311384)",43.47705610095387,-80.54037760311384,340.0
94,"(43.47715474411309, -80.54010024021554)",43.47715474411309,-80.54010024021554,340.0
95,"(43.47725338659784, -80.53982287641486)",43.47725338659784,-80.53982287641486,341.0
96,"(43.477352028408085, -80.53954551171182)",43.477352028408085,-80.53954551171182,341.0
97,"(43.47745066954385, -80.5392681461064)",43.47745066954385,-80.5392681461064,341.0
98,"(43.47754931000511, -80.5389907795986)",43.47754931000511,-80.5389907795986,341.0
