Voltage,Current,Data_Timestamp,dmm_v0,dmm_v1,dmm_v2,dmm_v3,dmm_t0,dmm_t1,dmm_t2,dmm_t3,dmm_t4,Log_Timestamp
8.37712378,0,1650045833,4.18224,8.35425,4.17974,8.3505,31.84223801,30.79827347,31.37247462,31.8675553,28.73292309,1650045834
8.22173322,-49.999439,1650045835,4.10074,8.19411,4.1005,8.19036,31.837849,30.80237089,31.40232797,31.8800427,28.72837099,1650045836
8.20694397,-49.999528,1650045837,4.0945,8.18175,4.0945,8.17836,31.84223801,30.79383439,31.38536702,31.8800427,28.73712478,1650045838
8.19720353,-49.999704,1650045839,4.08976,8.17275,4.09,8.16975,31.82940804,30.77266032,31.39791842,31.896915,28.7196162,1650045840
8.18924652,-49.999646,1650045841,4.086,8.16525,4.086,8.16186,31.837849,30.78973658,31.40232797,31.89286592,28.71086041,1650045842
8.18638566,-49.999671,1650045842,4.08476,8.16261,4.085,8.15961,31.85067785,30.80680954,31.39791842,31.896915,28.71541355,1650045842
8.18234322,-49.999679,1650045843,4.0825,8.1585,4.08276,8.1555,31.86316745,30.79827347,31.41487708,31.896915,28.72837099,1650045844
8.17616694,-49.999694,1650045845,4.0795,8.1525,4.07976,8.1495,31.84628923,30.76821995,31.38943793,31.90535004,28.7196162,1650045846
8.17053612,-49.999964,1650045847,4.07676,8.14686,4.077,8.14386,31.85911695,30.78529707,31.39384788,31.91378434,28.72416882,1650045848
8.1663481,-49.999759,1650045849,4.07476,8.14311,4.075,8.14011,31.85472871,30.76821995,31.37688538,31.88847922,28.7196162,1650045849
8.16335771,-50.000027,1650045850,4.07326,8.13975,4.0735,8.13675,31.85472871,30.76821995,31.37247462,31.91816989,28.72416882,1650045851
8.16143678,-49.999671,1650045851,4.07226,8.13786,4.0725,8.13525,31.87160545,30.76412095,31.38943793,31.89286592,28.68038246,1650045852
8.15863765,-49.999979,1650045852,4.071,8.13525,4.071,8.13261,31.86316745,30.76821995,31.37247462,31.89286592,28.70665728,1650045853
8.15683302,-50.000034,1650045853,4.07,8.13336,4.07026,8.13075,31.8800427,30.78973658,31.39791842,31.90535004,28.69790001,1650045853
8.154197,-49.999924,1650045854,4.06876,8.13075,4.069,8.12811,31.87160545,30.75968015,31.41080728,31.92221791,28.72416882,1650045855
8.15248447,-49.999694,1650045855,4.06776,8.12925,4.06826,8.12625,31.88442979,30.76412095,31.40232797,31.896915,28.71541355,1650045856
8.14999563,-49.999979,1650045856,4.06676,8.12661,4.067,8.124,31.85911695,30.75558075,31.39791842,31.91378434,28.71086041,1650045857
8.14837623,-49.999964,1650045857,4.066,8.12511,4.06626,8.1225,31.87599291,30.75558075,31.38095667,31.92221791,28.68458703,1650045857
8.14600505,-49.999939,1650045858,4.06476,8.12286,4.065,8.11986,31.87599291,30.77266032,31.39791842,31.90535004,28.69334583,1650045859
8.14446803,-49.999624,1650045859,4.06376,8.12136,4.06426,8.11836,31.87160545,30.75113953,31.40639814,31.93503551,28.69790001,1650045860
8.14220721,-49.999946,1650045860,4.06276,8.11911,4.063,8.11611,31.896915,30.75113953,31.38095667,31.91378434,28.72416882,1650045861
8.13857331,-49.999679,1650045862,4.061,8.11536,4.06126,8.11275,31.88442979,30.73849788,31.3639918,31.90535004,28.70665728,1650045863
8.13509546,-50.000011,1650045864,4.05926,8.112,4.0595,8.10936,31.8800427,30.78119886,31.37247462,31.92660307,28.70665728,1650045865
8.13175854,-50.000004,1650045866,4.0575,8.10861,4.05776,8.106,31.88442979,30.74703973,31.37688538,31.92221791,28.68038246,1650045867
8.12854442,-50.000034,1650045868,4.056,8.10561,4.05626,8.10261,31.89286592,30.73849788,31.37688538,31.90535004,28.68458703,1650045869
8.1254544,-49.999994,1650045870,4.0545,8.10261,4.05476,8.09961,31.90130131,30.74703973,31.39791842,31.93065074,28.68914173,1650045871
8.12305398,-49.999924,1650045872,4.05326,8.10036,4.05376,8.09775,31.89286592,30.75968015,31.38095667,31.93503551,28.70210362,1650045872
8.12130614,-50.000051,1650045873,4.05226,8.09811,4.05276,8.0955,31.896915,30.75968015,31.38095667,31.91378434,28.69334583,1650045874
8.12015377,-50.000004,1650045874,4.05176,8.09736,4.05226,8.09475,31.90535004,30.74259807,31.38536702,31.9559448,28.69334583,1650045874
8.1184581,-50.000004,1650045875,4.051,8.0955,4.05126,8.09286,31.90130131,30.74703973,31.35991976,31.93065074,28.67582723,1650045876
8.11571467,-50.000019,1650045877,4.0495,8.09286,4.05,8.09025,31.90130131,30.72551268,31.36840296,31.90973597,28.68038246,1650045878
